id,goals,assists,cleansheets,influence,creativity,threat,ict,minutes,gw
144,0,0,0,1.4,11.8,2.0,1.5,55,8
145,0,0,0,0.0,0.0,0.0,0.0,0,8
159,0,0,0,24.6,3.3,0.0,2.8,90,8
160,0,0,0,17.4,23.2,31.0,7.2,90,8
161,0,0,0,9.0,4.7,4.0,1.8,90,8
162,0,0,0,23.4,0.8,2.0,2.6,90,8
163,0,0,0,0.0,0.0,0.0,0.0,0,8
164,0,0,0,21.4,0.4,0.0,2.2,90,8
165,0,0,0,0.0,0.0,0.0,0.0,0,8
181,0,0,0,19.0,16.9,21.0,5.7,90,8
182,0,0,0,34.2,69.1,8.0,11.1,90,8
183,0,0,0,17.0,3.4,4.0,2.4,90,8
184,0,0,0,0.0,0.0,0.0,0.0,0,8
185,0,0,0,0.0,0.0,0.0,0.0,0,8
186,0,0,0,19.8,0.0,6.0,2.6,90,8
202,0,0,0,0.0,0.0,0.0,0.0,0,8
203,0,0,0,9.6,3.1,7.0,2.0,45,8
204,0,0,0,0.0,0.0,0.0,0.0,0,8
205,0,0,0,10.8,13.0,8.0,3.2,90,8
206,0,0,0,16.4,49.0,16.0,8.1,45,8
207,0,0,0,0.0,0.0,0.0,0.0,0,8
208,0,0,0,16.0,1.4,8.0,2.5,90,8
209,0,0,0,0.0,0.0,0.0,0.0,0,8
223,0,0,0,0.0,0.0,0.0,0.0,0,8
224,0,0,0,27.8,88.1,4.0,12.0,85,8
225,0,0,0,0.0,0.0,0.0,0.0,0,8
226,0,0,0,0.0,0.0,0.0,0.0,0,8
227,0,0,0,4.4,1.6,4.0,1.0,30,8
228,0,0,0,0.0,0.0,0.0,0.0,0,8
229,0,0,0,8.0,2.5,0.0,1.1,59,8
230,0,0,0,0.0,0.0,0.0,0.0,0,8
231,0,0,0,0.0,0.0,0.0,0.0,0,8
251,0,0,0,0.0,0.0,0.0,0.0,0,8
252,0,0,1,24.4,0.2,12.0,3.7,90,8
253,0,0,1,7.8,5.0,4.0,1.7,90,8
254,0,0,0,0.0,0.0,0.0,0.0,0,8
255,0,0,0,0.0,0.0,0.0,0.0,0,8
256,0,0,0,0.0,0.0,0.0,0.0,0,8
257,0,0,0,0.0,0.0,0.0,0.0,0,8
258,0,0,1,6.8,0.0,0.0,0.7,90,8
259,0,0,1,10.6,0.2,0.0,1.1,90,8
272,0,0,0,0.0,0.0,0.0,0.0,0,8
273,0,0,0,21.0,0.5,1.0,2.3,90,8
274,0,0,0,0.2,14.0,20.0,3.4,90,8
275,0,0,0,0.0,0.0,0.0,0.0,0,8
276,0,0,0,18.0,18.2,11.0,4.7,90,8
277,0,0,0,0.0,0.0,0.0,0.0,0,8
291,0,0,1,12.0,7.7,1.0,2.1,90,8
292,0,0,0,0.0,0.0,0.0,0.0,0,8
293,0,0,1,20.4,3.0,2.0,2.5,90,8
294,0,0,1,11.4,10.0,4.0,2.5,90,8
295,0,0,1,19.0,0.4,8.0,2.7,90,8
296,0,0,0,0.0,0.0,0.0,0.0,0,8
297,0,0,1,11.0,27.5,6.0,4.5,90,8
304,0,0,0,0.0,0.0,0.0,0.0,0,8
305,0,0,0,10.6,10.9,0.0,2.2,90,8
306,0,1,0,20.4,1.0,2.0,2.3,90,8
307,0,0,0,12.8,0.3,0.0,1.3,90,8
308,0,0,0,0.0,0.0,0.0,0.0,0,8
309,0,1,0,34.6,33.3,2.0,7.0,90,8
310,0,0,0,13.8,0.4,9.0,2.3,90,8
311,0,0,0,0.0,0.0,0.0,0.0,0,8
329,0,0,0,11.8,3.7,2.0,1.8,90,8
330,0,0,0,22.6,0.9,0.0,2.4,90,8
331,0,0,0,29.8,2.0,2.0,3.4,90,8
332,0,0,0,0.0,0.0,0.0,0.0,0,8
333,0,0,0,0.0,0.0,0.0,0.0,0,8
